Retailer,path,search_term,prd_id,images,url
mollini,boot-shaft/boots/boots,ankle boots,MO12922-P22-FT,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922P22FT_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922P22FT_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922P22FT_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922P22FT_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922P22FT_6.jpg,https://www.mollini.com.au/audry-fuchsia-microsuede-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12922-N58-JZ,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922N58JZ_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922N58JZ_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922N58JZ_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922N58JZ_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922N58JZ_6.jpg,https://www.mollini.com.au/audry-camel-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12474-BBL-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474BBLLE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474BBLLE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474BBLLE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474BBLLE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12474BBLLE_6.jpg,https://www.mollini.com.au/brink-black-leather-ankle-boots-nh.html
mollini,boot-shaft/boots/boots,ankle boots,MO11079-T78-SU,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO11079T78SU_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO11079T78SU_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO11079T78SU_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO11079T78SU_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO11079T78SU_6.jpg,https://www.mollini.com.au/biscoti-tan-suede-ankle-boots-nh.html
mollini,boot-shaft/boots/boots,ankle boots,MO12922-BLA-JZ,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAJZ_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAJZ_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAJZ_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAJZ_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922BLAJZ_6.jpg,https://www.mollini.com.au/audry-black-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12922-WHI-JZ,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922WHIJZ_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922WHIJZ_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922WHIJZ_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922WHIJZ_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12922WHIJZ_6.jpg,https://www.mollini.com.au/audry-white-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12666-W18-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12666W18LE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12666W18LE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12666W18LE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12666W18LE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12666W18LE_6.jpg,https://www.mollini.com.au/minker-cream-leather-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12190-WHI-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12190WHILE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12190WHILE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12190WHILE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12190WHILE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12190WHILE_6.jpg,https://www.mollini.com.au/treya-white-leather-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12983-TAN-SU,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12983TANSU_4_.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12983TANSU_2_.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12983TANSU_3_.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12983TANSU_5_.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12983TANSU_6_.jpg,https://www.mollini.com.au/mitz-tan-suede-ankle-boots.html
mollini,boot-shaft/boots/boots,ankle boots,MO12950-TAN-LE,https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12950TANLE_4.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12950TANLE_2.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12950TANLE_3.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12950TANLE_5.jpg|https://www.mollini.com.au/media/catalog/product/cache/f96768f6abab540b1bd6bfbf9df546c9/M/O/MO12950TANLE_6.jpg,https://www.mollini.com.au/favorite-tan-leather-ankle-boots.html
